engagement_id,campaign_id,hcp_id,interaction_type,interaction_date,engagement_duration_sec
322,184,1624,download,2025-04-12,179
323,168,1142,click,2025-04-30,843
324,126,1824,open,2025-08-01,593
325,151,1545,view,2025-05-27,621
326,145,1172,view,2025-08-18,730
327,49,1296,view,2025-08-06,888
328,123,1921,open,2025-03-23,148
329,158,1804,download,2025-11-29,70
330,68,1887,click,2025-03-18,728
331,24,1135,click,2025-09-24,159
332,112,1329,click,2026-01-07,789
333,110,1692,download,2026-01-18,511
334,91,1591,view,2025-09-17,652
335,198,1384,download,2025-05-10,87
336,80,1813,open,2025-10-12,422
337,127,1767,view,2026-01-01,721
338,187,1898,view,2025-04-21,475
339,154,1499,view,2025-03-01,605
340,92,1889,open,2025-02-01,758
341,64,1650,view,2025-07-04,880
342,141,1814,download,2025-11-09,233
343,79,1844,click,2025-01-27,516
344,143,1330,view,2025-03-11,355
345,139,1591,click,2025-11-21,589
346,41,1496,view,2025-12-26,708
347,152,1049,open,2025-02-19,111
348,181,1802,download,2025-04-09,26
349,128,1951,click,2025-08-12,461
350,8,1000,download,2025-06-28,217
351,142,1931,click,2025-11-13,675
352,195,1162,view,2025-07-09,105
353,171,1369,view,2025-07-09,94
354,31,1680,click,2025-03-23,63
355,25,1640,view,2025-03-29,753
356,52,1773,click,2025-04-06,449
357,89,1093,open,2026-01-08,11
358,16,1488,open,2025-05-09,145
359,4,1231,download,2025-03-12,19
360,50,1712,view,2025-09-12,846
361,8,1880,download,2025-06-06,720
362,67,1489,open,2025-02-17,244
363,141,1091,open,2025-11-29,115
364,108,1376,view,2025-12-07,150
365,85,1792,click,2025-08-08,666
366,77,1146,open,2025-05-15,553
367,185,1008,click,2025-05-19,460
368,12,1739,click,2025-08-07,653
369,110,1155,download,2026-01-12,640
370,156,1453,click,2025-02-27,98
371,158,1102,click,2025-12-08,780
372,157,1603,download,2025-11-03,369
373,156,1322,click,2025-02-11,263
374,127,1660,open,2025-12-17,264
375,97,1615,view,2025-09-25,807
376,21,1707,open,2025-10-31,878
377,31,1674,view,2025-04-23,220
378,76,1621,click,2025-07-29,775
379,66,1302,open,2025-05-18,812
380,130,1812,click,2025-11-30,516
381,60,1115,click,2025-09-25,521
382,50,1608,open,2025-10-22,550
383,118,1012,view,2025-11-23,334
384,50,1396,download,2025-09-20,384
385,149,1699,click,2025-05-21,791
386,46,1977,open,2025-09-18,27
387,177,1069,open,2025-11-13,278
388,130,1040,open,2025-10-17,818
389,67,1518,view,2025-03-06,653
390,51,1513,download,2025-08-15,443
391,123,1411,open,2025-04-04,665
392,34,1550,click,2025-06-12,294
393,3,1317,open,2025-08-27,533
394,189,1208,click,2025-12-03,559
395,5,1400,open,2025-08-01,327
396,30,1447,click,2025-12-29,69
397,98,1088,download,2025-03-03,128
398,99,1626,open,2025-02-23,326
399,102,1759,click,2025-08-11,132
400,80,1724,click,2025-09-02,728
401,69,1167,download,2025-04-25,365
402,145,1529,view,2025-08-17,180
403,80,1129,view,2025-09-25,760
404,188,1120,open,2025-03-27,353
405,76,1439,view,2025-08-16,546
406,86,1269,open,2025-08-09,518
407,49,1523,view,2025-08-17,66
408,47,1879,click,2025-02-05,386
409,49,1261,open,2025-07-29,597
410,68,1740,open,2025-04-13,243
411,82,1521,open,2025-03-10,55
412,144,1883,open,2025-11-25,260
413,58,1483,view,2025-07-29,402
414,197,1153,click,2025-12-01,888
415,180,1566,download,2025-10-15,239
416,200,1254,download,2025-04-23,747
417,30,1277,open,2025-12-05,595
418,40,1122,open,2025-03-15,193
419,53,1823,open,2025-01-25,420
420,194,1898,download,2025-05-01,896
421,166,1792,view,2025-06-07,345
422,117,1566,download,2025-08-29,18
423,177,1205,view,2025-10-30,587
424,14,1311,click,2025-10-04,485
425,47,1605,download,2025-01-28,801
426,58,1200,click,2025-09-14,164
427,131,1954,download,2025-11-01,34
428,128,1554,view,2025-08-19,661
429,119,1710,open,2025-03-03,353
430,125,1777,download,2025-02-13,879
431,140,1744,view,2025-05-26,116
432,5,1542,click,2025-07-25,439
433,159,1984,open,2025-12-18,155
434,74,1286,open,2025-06-03,54
435,199,1237,download,2025-12-11,727
436,182,1381,download,2025-05-22,775
437,199,1594,open,2025-10-19,527
438,107,1652,download,2025-07-20,86
439,94,1581,open,2025-07-24,455
440,78,1987,click,2025-10-05,252
441,100,1267,view,2025-02-26,830
442,198,1717,view,2025-05-09,335
443,31,1278,click,2025-03-28,86
444,93,1207,click,2025-06-08,808
445,107,1598,open,2025-08-30,169
446,7,1168,download,2025-04-16,487
447,154,1416,open,2025-01-20,558
448,78,1987,click,2025-09-15,472
449,35,1474,view,2025-03-21,882
450,14,1092,click,2025-08-22,836
451,125,1311,open,2025-03-28,230
452,92,1877,view,2025-03-26,161
453,148,1728,click,2025-07-15,374
454,69,1525,open,2025-05-20,703
455,64,1266,click,2025-06-24,41
456,191,1414,download,2025-05-06,579
457,151,1563,click,2025-06-21,106
458,54,1104,click,2025-08-11,134
459,162,1063,click,2025-02-06,143
460,142,1843,download,2025-10-12,391
461,7,1645,open,2025-05-23,606
462,55,1265,open,2025-05-26,32
463,124,1202,download,2025-05-25,838
464,92,1094,view,2025-02-09,135
465,62,1964,download,2025-08-23,61
466,123,1946,download,2025-03-01,851
467,23,1404,download,2025-08-04,40
468,193,1699,download,2025-07-24,186
469,162,1219,click,2025-02-28,291
470,176,1456,click,2025-06-13,45
471,109,1634,click,2025-08-30,672
472,180,1510,download,2025-10-31,573
473,48,1062,open,2025-02-16,296
474,146,1140,download,2025-10-12,214
475,39,1905,click,2026-01-10,655
476,156,1556,open,2025-03-07,401
477,109,1730,view,2025-09-10,501
478,82,1800,download,2025-02-25,362
479,53,1579,view,2025-03-10,407
480,182,1184,open,2025-04-12,336
481,134,1224,open,2025-03-05,840
482,169,1287,open,2025-02-28,838
483,82,1542,view,2025-02-21,795
484,188,1238,click,2025-03-08,112
485,157,1672,click,2025-11-11,282
486,174,1835,open,2025-05-10,792
487,122,1224,download,2025-11-15,373
488,74,1859,click,2025-06-17,190
489,39,1606,view,2025-12-15,835
490,146,1714,view,2025-11-04,615
491,88,1720,view,2025-05-17,591
492,121,1145,click,2025-12-04,866
493,178,1902,download,2025-09-30,565
494,5,1179,download,2025-07-31,48
495,181,1057,click,2025-03-05,626
496,81,1020,download,2025-08-10,10
497,107,1939,click,2025-08-02,835
498,135,1348,click,2025-02-17,831
499,126,1889,view,2025-09-11,70
500,2,1151,click,2025-04-30,802
501,70,1866,view,2025-07-08,84
502,186,1721,download,2025-07-07,610
503,180,1344,view,2025-10-19,340
504,26,1999,click,2025-03-14,759
505,154,1447,download,2025-03-01,674
506,49,1178,view,2025-08-08,238
507,40,1603,click,2025-04-03,397
508,23,1751,view,2025-07-08,140
509,52,1746,open,2025-03-04,728
510,15,1586,download,2025-03-07,881
511,180,1988,open,2025-12-01,196
512,45,1325,click,2025-11-28,664
513,91,1106,download,2025-10-14,154
514,31,1763,open,2025-03-21,253
515,65,1327,click,2025-10-25,661
516,52,1986,open,2025-04-18,851
517,17,1686,view,2025-12-22,467
518,37,1271,click,2025-01-02,265
519,195,1069,view,2025-08-03,272
520,89,1110,open,2026-01-17,59
521,185,1448,download,2025-05-07,180
522,67,1423,download,2025-04-06,397
523,198,1559,download,2025-05-06,113
524,61,1490,click,2025-11-03,176
525,54,1075,open,2025-08-10,311
526,177,1326,view,2025-10-08,117
527,55,1350,click,2025-04-23,394
528,183,1749,open,2025-04-28,570
529,180,1919,open,2025-12-12,356
530,135,1628,download,2025-03-19,731
531,153,1441,click,2025-04-21,631
532,139,1444,click,2025-12-12,64
533,63,1339,click,2025-11-25,204
534,146,1713,view,2025-10-14,686
535,8,1304,click,2025-06-17,108
536,38,1402,download,2025-03-31,167
537,48,1369,open,2025-01-20,447
538,151,1301,download,2025-05-10,214
539,39,1026,click,2025-12-06,184
540,47,1298,open,2025-02-14,494
541,130,1118,view,2025-11-27,813
542,195,1482,download,2025-07-15,686
543,67,1093,download,2025-02-25,199
544,84,1906,download,2025-04-20,388
545,128,1456,open,2025-08-16,279
546,24,1476,view,2025-08-28,241
547,17,1275,open,2025-12-30,164
548,76,1713,open,2025-08-13,97
549,57,1352,download,2025-11-08,784
550,129,1232,open,2025-08-25,870
551,68,1838,download,2025-03-25,558
552,166,1887,download,2025-07-02,596
553,105,1241,download,2025-06-18,316
554,143,1404,open,2025-02-27,524
555,3,1922,click,2025-09-27,133
556,20,1775,download,2025-12-04,187
557,99,1171,click,2025-03-26,837
558,104,1129,open,2025-05-12,443
559,89,1699,download,2025-12-03,216
560,138,1642,click,2025-06-26,864
561,181,1264,view,2025-04-07,754
562,130,1826,open,2025-12-01,99
563,26,1569,download,2025-03-30,575
564,181,1877,view,2025-03-20,542
565,17,1939,open,2025-12-06,815
566,160,1638,download,2025-06-08,125
567,137,1153,click,2025-07-02,590
568,186,1596,open,2025-07-21,118
569,88,1798,open,2025-06-21,814
570,127,1888,view,2025-12-18,430
571,38,1392,download,2025-04-13,595
572,195,1484,open,2025-07-28,186
573,65,1412,click,2025-10-20,643
574,131,1697,download,2025-12-09,49
575,73,1910,view,2025-09-10,717
576,170,1050,download,2025-01-29,285
577,150,1381,open,2025-08-16,355
578,114,1812,view,2025-08-06,328
579,89,1863,download,2025-12-15,888
580,173,1701,open,2025-09-05,899
581,78,1137,view,2025-09-07,771
582,11,1792,view,2025-02-07,285
583,43,1426,open,2025-05-01,202
584,73,1216,download,2025-09-13,768
585,200,1777,view,2025-05-04,850
586,66,1527,click,2025-04-26,77
587,3,1726,download,2025-09-10,148
588,157,1871,open,2025-12-15,187
589,160,1896,click,2025-05-07,867
590,27,1255,open,2025-05-14,477
591,34,1940,view,2025-05-12,731
592,53,1280,view,2025-01-23,853
593,100,1517,download,2025-03-09,660
594,9,1126,open,2025-12-20,257
595,145,1500,download,2025-08-07,191
596,158,1485,view,2025-12-06,362
597,14,1857,view,2025-08-25,776
598,22,1705,open,2025-07-16,301
599,9,1395,open,2025-10-23,176
600,60,1585,click,2025-10-25,887
601,173,1662,click,2025-08-06,703
602,96,1275,download,2025-01-16,535
603,147,1885,open,2025-07-14,495
604,164,1135,click,2025-06-16,625
605,197,1008,click,2025-11-24,268
606,96,1824,view,2025-02-10,739
607,61,1658,view,2025-10-26,443
608,19,1385,view,2026-01-22,480
609,67,1223,download,2025-02-25,319
610,2,1533,download,2025-06-11,608
611,64,1007,view,2025-06-11,584
612,16,1608,view,2025-06-06,315
613,35,1110,download,2025-04-14,75
614,110,1283,view,2025-12-17,892
615,173,1267,view,2025-08-09,202
616,92,1529,click,2025-02-10,68
617,88,1877,download,2025-07-06,686
618,42,1697,click,2025-11-26,748
619,103,1671,download,2025-03-05,312
620,95,1928,download,2025-11-06,424
621,125,1754,open,2025-03-09,607
622,146,1585,click,2025-11-02,361
623,57,1730,click,2025-11-12,712
624,48,1653,download,2025-02-20,697
625,185,1519,view,2025-05-05,875
626,186,1860,click,2025-06-24,310
627,171,1482,click,2025-06-04,768
628,140,1742,click,2025-04-25,706
629,132,1343,open,2025-11-25,237
630,100,1228,view,2025-03-02,440
631,141,1908,view,2025-12-25,390
632,113,1599,view,2025-02-23,484
633,97,1120,download,2025-10-14,64
634,9,1649,open,2025-12-16,493
635,128,1199,open,2025-09-30,898
636,162,1390,view,2025-03-21,433
637,165,1891,click,2025-04-15,150
638,67,1350,download,2025-02-21,593
639,155,1928,download,2025-07-08,156
640,97,1883,click,2025-09-10,807
641,78,1499,view,2025-08-29,656
642,114,1320,open,2025-06-26,14
643,185,1280,click,2025-05-11,789
644,170,1172,click,2025-03-04,511
645,111,1781,open,2025-04-11,142
646,33,1444,download,2025-06-07,423
647,30,1988,download,2025-12-12,402
648,72,1038,click,2025-02-13,758
649,149,1972,open,2025-05-10,339
650,68,1853,click,2025-04-18,28
651,64,1004,click,2025-07-18,241
652,139,1898,view,2025-11-30,329
653,54,1105,download,2025-07-21,525
654,145,1313,click,2025-08-21,76
655,75,1046,view,2025-08-30,307
656,62,1745,view,2025-09-19,454
657,137,1703,click,2025-08-01,360
658,131,1501,view,2025-12-28,778
659,160,1168,download,2025-05-07,29
660,45,1229,click,2025-11-04,226
661,114,1022,click,2025-07-31,136
662,3,1728,open,2025-09-14,394
663,83,1655,view,2025-05-28,799
664,114,1638,open,2025-07-19,618
665,95,1677,open,2025-10-24,679
666,57,1020,open,2025-11-19,716
667,185,1426,download,2025-04-20,399
668,118,1560,view,2025-10-05,495
669,113,1156,click,2025-03-23,721
670,57,1645,open,2025-11-09,318
671,21,1677,open,2025-09-27,688
672,158,1276,click,2025-11-14,438
673,169,1920,open,2025-03-04,533
674,8,1632,open,2025-07-15,299
675,126,1803,open,2025-07-26,519
676,179,1623,click,2025-10-15,806
677,143,1851,click,2025-03-10,376
678,75,1419,view,2025-08-23,174
679,128,1561,download,2025-08-07,222
680,120,1955,download,2025-05-14,348
681,59,1002,open,2025-09-28,697
682,107,1928,open,2025-07-17,865
683,16,1685,download,2025-06-01,162
684,181,1092,open,2025-04-29,750
685,63,1103,view,2026-01-04,669
686,66,1467,view,2025-05-07,280
687,168,1051,open,2025-04-20,842
688,93,1895,open,2025-04-20,882
689,140,1368,view,2025-04-27,446
690,168,1118,open,2025-05-08,881
691,43,1911,open,2025-05-03,19
692,199,1141,click,2025-12-07,346
693,77,1915,download,2025-04-24,646
694,10,1899,open,2025-09-26,391
695,35,1350,click,2025-04-23,126
696,47,1409,download,2025-01-30,288
697,165,1394,download,2025-06-04,829
698,140,1664,click,2025-05-05,125
699,120,1712,open,2025-04-08,874
700,168,1106,download,2025-04-01,614
701,3,1821,download,2025-09-21,195
702,122,1388,view,2025-10-25,636
703,182,1883,click,2025-03-27,504
704,40,1499,open,2025-04-19,431
705,24,1047,open,2025-08-28,277
706,139,1321,open,2025-11-27,731
707,153,1694,click,2025-06-14,695
708,82,1346,open,2025-03-18,453
709,44,1744,click,2025-06-20,503
710,179,1679,download,2025-10-25,162
711,109,1846,open,2025-09-13,21
712,23,1956,click,2025-07-30,527
713,40,1480,download,2025-04-15,900
714,142,1076,download,2025-10-10,338
715,71,1338,view,2025-03-08,61
716,182,1228,download,2025-04-27,422
717,174,1240,open,2025-05-28,480
718,198,1820,download,2025-05-12,100
719,3,1510,download,2025-10-15,333
720,94,1509,open,2025-06-24,115
721,172,1422,open,2025-09-15,580
722,149,1000,open,2025-05-22,820
723,80,1986,view,2025-10-10,530
724,79,1211,download,2025-02-04,359
725,160,1845,open,2025-05-18,846
726,145,1864,download,2025-07-29,349
727,69,1785,download,2025-05-30,743
728,61,1372,download,2025-10-23,126
729,192,1777,click,2025-02-07,12
730,199,1363,view,2025-11-04,570
731,47,1382,open,2025-02-07,56
732,24,1168,download,2025-09-26,153
733,75,1734,download,2025-08-30,119
734,58,1625,click,2025-08-12,202
735,150,1952,download,2025-06-27,230
736,150,1844,click,2025-07-19,743
737,55,1110,download,2025-05-10,57
738,185,1648,open,2025-06-11,800
739,175,1461,download,2025-07-24,684
740,18,1979,click,2025-12-06,520
741,23,1543,open,2025-06-19,576
742,88,1443,download,2025-07-14,530
743,85,1943,click,2025-09-02,718
744,6,1177,click,2025-06-27,116
745,157,1673,view,2025-11-20,526
746,124,1393,download,2025-07-16,633
747,75,1709,click,2025-09-05,290
748,136,1986,view,2025-09-25,311
749,167,1824,click,2025-06-10,151
750,57,1616,view,2025-10-23,873
751,25,1560,view,2025-04-17,738
752,118,1957,click,2025-11-14,215
753,144,1639,view,2025-10-15,713
754,54,1943,click,2025-08-04,737
755,135,1998,click,2025-03-22,525
756,47,1710,view,2025-02-08,737
757,52,1779,view,2025-02-28,585
758,169,1596,download,2025-02-09,700
759,16,1915,view,2025-06-12,877
760,30,1827,open,2025-12-12,545
761,67,1025,download,2025-02-15,158
762,108,1686,open,2025-11-20,214
763,14,1768,click,2025-09-01,303
764,33,1256,click,2025-06-11,869
765,1,1707,view,2025-07-17,218
766,78,1554,open,2025-10-11,377
767,163,1463,open,2026-01-18,640
768,101,1691,click,2025-10-16,770
769,72,1574,download,2025-03-26,253
770,92,1803,view,2025-03-05,719
771,126,1048,download,2025-08-30,406
772,3,1979,view,2025-09-17,575
773,10,1013,view,2025-09-12,217
