metric_id,brand_id,visit_date,page_views,unique_visitors,bounce_rate
76,4,2025-11-22,9849,4813,0.33
77,4,2025-12-19,4561,4638,0.76
78,4,2025-11-03,6580,3791,0.73
79,3,2025-10-24,3601,3419,0.52
80,4,2025-04-06,640,1990,0.47
81,4,2025-11-23,9508,3749,0.39
82,1,2025-05-11,5167,3503,0.67
83,2,2025-12-10,4617,3589,0.4
84,3,2025-06-20,5702,3756,0.43
85,4,2025-09-14,6901,1797,0.79
86,1,2025-09-15,2842,1351,0.73
87,2,2025-12-01,5155,1699,0.26
88,2,2025-04-23,9850,4697,0.69
89,1,2025-07-29,9300,3853,0.54
90,2,2025-04-19,1252,957,0.3
91,2,2025-07-12,7829,4860,0.69
92,2,2025-04-21,8219,3042,0.56
93,1,2025-09-30,2627,1263,0.57
94,1,2025-11-26,4339,1913,0.47
95,3,2025-07-19,8270,2388,0.63
96,3,2025-12-05,8241,2630,0.56
97,1,2025-11-19,4200,1473,0.52
98,2,2025-06-03,9999,3661,0.65
99,2,2025-03-26,2921,3744,0.54
100,1,2025-08-30,9491,313,0.61
101,2,2025-08-25,9709,1819,0.7
102,4,2025-05-11,3755,3514,0.24
103,1,2025-08-07,8674,3591,0.25
104,3,2025-06-27,7391,914,0.74
105,3,2025-03-31,2264,4337,0.27
106,1,2025-12-25,7020,2563,0.6
107,2,2025-03-09,3521,1544,0.76
108,1,2025-02-16,8535,4333,0.55
109,3,2025-01-18,9062,4958,0.33
110,2,2025-12-09,1552,517,0.8
111,1,2025-12-27,8377,1496,0.34
112,2,2025-01-30,8654,2657,0.8
113,4,2025-04-09,4383,483,0.25
114,3,2025-08-16,2525,248,0.51
115,2,2025-07-26,4914,2251,0.29
116,2,2025-04-26,5277,1335,0.36
117,3,2025-11-13,8625,4305,0.4
118,3,2025-05-01,8682,554,0.29
119,2,2025-04-15,3609,868,0.23
120,1,2025-06-22,7695,761,0.56
121,1,2025-12-25,5286,2166,0.64
122,4,2025-03-10,3366,2164,0.78
123,1,2025-12-16,2999,2664,0.29
124,1,2025-07-19,6890,1865,0.26
125,4,2025-10-11,7443,4790,0.38
126,1,2025-03-25,8176,4034,0.67
127,4,2025-11-16,8184,3703,0.58
128,4,2025-01-05,3563,4812,0.77
129,2,2025-12-20,5437,1593,0.66
130,4,2025-06-26,9446,921,0.23
131,1,2025-01-12,5556,719,0.23
132,1,2025-04-05,2958,3018,0.75
133,2,2025-09-13,1275,3369,0.41
134,1,2025-04-29,7275,4767,0.3
135,3,2025-10-31,5742,1445,0.74
136,1,2025-12-09,5578,3612,0.76
137,3,2025-08-12,7363,4819,0.21
138,1,2025-04-15,5424,2937,0.59
139,1,2025-05-01,735,2323,0.28
140,1,2025-08-08,8353,1925,0.7
141,4,2025-03-19,9397,3814,0.4
142,2,2025-06-16,4175,1519,0.3
143,3,2025-08-01,2394,2108,0.34
144,2,2025-07-19,9543,646,0.72
145,1,2025-11-30,4035,4134,0.65
146,1,2025-12-16,2825,2155,0.7
147,3,2025-03-28,2783,1824,0.4
148,1,2025-05-21,3349,4037,0.39
149,1,2025-06-24,8255,636,0.74
150,2,2025-10-06,8815,3420,0.71
151,3,2025-11-11,6734,1018,0.39
152,3,2025-08-09,4101,2693,0.55
153,1,2025-02-02,8741,4888,0.29
154,3,2025-07-06,5667,3907,0.64
155,4,2025-02-13,5334,2105,0.32
156,2,2025-12-02,4960,331,0.33
157,1,2025-01-23,6052,4685,0.67
158,1,2025-06-29,8913,3065,0.34
159,1,2025-05-24,2555,1445,0.42
160,1,2025-02-28,5021,716,0.78
161,3,2025-08-30,7761,1804,0.34
162,1,2025-10-01,3853,4544,0.43
163,3,2025-07-11,7102,4717,0.4
164,1,2025-10-11,2740,279,0.58
165,1,2025-06-22,3612,4656,0.62
166,4,2025-01-19,9946,1453,0.47
167,3,2025-11-27,3979,1708,0.77
168,3,2025-06-11,5829,822,0.53
169,3,2025-03-01,2128,2289,0.46
170,2,2025-12-08,2373,2373,0.22
171,4,2025-03-04,8797,2049,0.36
172,1,2025-05-14,7787,818,0.68
173,4,2025-02-10,1481,1019,0.64
174,2,2025-11-04,7730,2179,0.39
175,4,2025-09-18,3368,980,0.42
176,2,2025-01-31,4449,4002,0.72
177,3,2025-09-18,2166,4249,0.79
178,2,2025-03-26,6654,1019,0.68
179,2,2025-08-22,877,585,0.22
180,3,2025-03-12,3732,4246,0.7
181,3,2025-03-29,1870,4566,0.34
182,1,2025-02-06,1239,1715,0.29
183,4,2025-08-16,709,4546,0.55
184,3,2025-02-03,8499,4433,0.63
185,2,2025-09-04,6175,864,0.58
186,1,2025-01-02,3122,3753,0.39
187,1,2025-02-08,5441,4995,0.28
188,3,2025-11-23,6851,2104,0.76
189,3,2025-08-06,8547,4036,0.59
190,2,2025-04-26,7316,1828,0.57
191,2,2025-12-28,6167,3220,0.7
192,3,2025-02-01,8123,245,0.67
193,3,2025-09-25,4285,290,0.37
194,3,2025-02-14,4963,4748,0.27
195,2,2025-01-11,6875,4431,0.48
196,3,2025-09-09,4416,4234,0.74
197,2,2025-11-03,4811,292,0.29
198,1,2025-09-05,829,614,0.53
199,1,2025-09-08,1987,775,0.27
200,3,2025-12-24,8553,3020,0.42
201,4,2025-03-30,7658,1578,0.24
202,4,2025-09-11,4634,4344,0.38
203,3,2025-09-02,1472,2932,0.33
204,3,2025-02-09,8344,2957,0.74
205,1,2025-04-11,2921,2077,0.53
206,1,2025-06-12,1813,2108,0.77
207,1,2025-03-08,5859,4422,0.52
208,1,2025-04-23,4198,1375,0.75
209,1,2025-07-26,6739,2028,0.41
210,3,2025-10-19,9249,2702,0.46
211,4,2025-09-12,9396,3836,0.31
212,2,2025-10-06,3767,4503,0.33
213,2,2025-10-27,8388,696,0.39
214,3,2025-08-30,2803,4106,0.78
215,3,2025-12-16,3121,3310,0.41
216,3,2025-02-18,3458,2348,0.42
217,1,2025-10-07,4360,2230,0.27
218,1,2025-04-16,6304,2488,0.63
219,1,2025-07-17,2022,2273,0.34
220,2,2025-05-02,4193,4198,0.58
221,3,2025-03-09,1255,4895,0.36
222,3,2025-04-20,1993,4575,0.72
223,1,2025-09-18,2863,2626,0.66
224,4,2025-10-15,1674,2534,0.78
225,1,2025-09-03,4048,3076,0.36
226,2,2025-08-26,8234,681,0.3
227,3,2025-07-19,6187,3400,0.31
228,1,2025-08-17,2377,3095,0.48
229,4,2025-01-24,2314,4773,0.23
230,4,2025-08-24,9749,1306,0.29
231,2,2025-02-17,7525,3592,0.42
232,3,2025-01-05,2221,2321,0.26
233,1,2025-04-12,3457,3868,0.37
234,4,2025-08-12,6613,3570,0.41
235,2,2025-06-23,791,4196,0.46
236,2,2025-09-05,8283,2088,0.45
237,2,2025-06-22,4278,4258,0.27
238,1,2025-08-03,6957,2198,0.23
239,1,2025-02-01,1450,2892,0.52
240,1,2025-08-21,3313,4617,0.75
241,4,2025-09-10,2944,2163,0.24
242,2,2025-06-07,6381,2819,0.77
243,4,2025-08-08,8316,2364,0.61
244,2,2025-06-11,6946,4218,0.34
245,2,2025-11-10,7054,331,0.51
246,3,2025-12-07,3235,4358,0.56
247,3,2025-12-29,3970,4993,0.32
248,4,2025-08-09,8289,1808,0.42
249,3,2025-06-14,3184,1061,0.65
250,3,2025-10-15,7328,1293,0.7
251,4,2025-11-19,9111,4612,0.56
252,2,2025-06-04,8325,703,0.25
253,4,2025-11-27,2011,3578,0.43
254,2,2025-09-26,2833,1185,0.62
255,4,2025-02-01,7837,3056,0.55
256,1,2025-07-31,4847,4185,0.49
257,2,2025-12-18,5088,2998,0.34
258,2,2025-05-18,6845,3938,0.56
259,4,2025-10-21,8039,3466,0.29
260,3,2025-08-27,9930,3553,0.6
261,1,2025-06-08,4117,516,0.22
262,4,2025-03-04,9194,1616,0.32
263,2,2025-02-06,9602,4966,0.73
264,4,2025-04-18,8538,1875,0.6
265,3,2025-05-30,4120,1716,0.24
266,4,2025-03-22,2195,3346,0.29
267,4,2025-05-20,4102,2889,0.64
268,1,2025-12-06,6287,3986,0.33
269,3,2025-06-03,9074,3011,0.68
270,1,2025-12-12,5319,3872,0.57
271,3,2025-05-11,3181,4995,0.34
272,4,2025-01-31,2124,3378,0.71
273,2,2025-01-05,1164,4661,0.47
274,2,2025-03-14,6950,4621,0.79
275,4,2025-09-03,7493,4213,0.47
276,4,2025-09-03,6646,3359,0.34
277,3,2025-10-26,8284,2155,0.44
278,1,2025-05-13,6418,3212,0.21
279,1,2025-01-31,9656,2458,0.27
280,2,2025-04-13,4291,4300,0.54
281,1,2025-11-27,8027,2799,0.75
282,2,2025-12-28,8186,298,0.79
283,4,2025-02-05,8733,4599,0.61
284,1,2025-04-10,3353,3261,0.45
285,1,2025-06-01,7486,2337,0.22
286,2,2025-03-23,560,1274,0.73
287,1,2025-10-17,3299,1670,0.61
288,3,2025-06-15,7596,883,0.78
289,4,2025-07-17,2015,4074,0.62
290,3,2025-03-18,7592,3460,0.45
291,2,2025-06-07,6314,4278,0.69
292,3,2025-09-10,9420,4541,0.32
293,2,2025-09-20,9053,2371,0.22
294,1,2025-09-26,6977,836,0.47
295,3,2025-03-11,9639,3192,0.47
296,3,2025-10-06,7778,1917,0.7
297,3,2025-12-02,7987,411,0.63
298,3,2025-07-30,8175,1464,0.23
299,2,2025-05-23,4888,3381,0.61
300,2,2025-03-05,7264,3962,0.63
301,3,2025-05-03,2314,4304,0.56
302,1,2025-01-05,7535,3556,0.52
303,4,2025-09-03,2375,576,0.22
304,1,2025-05-15,9823,4058,0.48
305,4,2025-01-22,1261,629,0.31
306,1,2025-12-18,4595,3723,0.38
307,2,2025-09-10,8882,1566,0.28
308,3,2025-07-20,3460,1355,0.22
309,3,2025-11-09,3206,2329,0.78
310,4,2025-09-26,2279,1411,0.64
311,1,2025-10-05,6415,2312,0.8
312,1,2025-03-10,4638,1067,0.25
313,2,2025-03-14,7098,2930,0.36
314,2,2025-07-15,5630,999,0.47
315,4,2025-07-20,7311,4791,0.33
316,3,2025-02-25,5801,413,0.7
317,2,2025-06-05,2916,4388,0.76
318,4,2025-06-24,8545,1450,0.24
319,2,2024-12-31,2127,2549,0.62
320,1,2025-06-06,2157,2652,0.34
321,2,2025-04-13,8698,3199,0.76
322,3,2025-05-13,1140,4975,0.69
323,1,2025-06-01,9925,4682,0.27
324,2,2025-09-07,8239,785,0.24
325,3,2025-03-09,1464,4254,0.26
326,1,2025-09-07,7417,2279,0.45
327,1,2025-06-16,9224,4523,0.48
328,3,2025-03-30,920,1751,0.56
329,2,2025-02-04,8046,4164,0.57
330,1,2025-07-11,3630,4634,0.65
331,3,2025-11-22,8807,2992,0.33
332,3,2025-09-29,9961,3898,0.58
333,1,2025-09-04,9812,3989,0.64
334,4,2025-09-18,4301,4409,0.2
335,1,2025-08-23,1981,2298,0.6
336,2,2025-10-07,7345,2759,0.58
337,1,2025-12-26,4825,1292,0.77
338,2,2025-12-23,1049,4718,0.79
339,3,2025-03-26,6646,1625,0.62
340,2,2025-09-07,4752,4802,0.49
341,1,2025-02-18,4252,2644,0.72
342,1,2025-11-28,5164,3787,0.59
343,4,2025-05-05,5658,4184,0.33
344,3,2025-11-17,4601,1092,0.4
345,4,2025-11-25,7977,1755,0.72
346,2,2025-08-09,4204,1425,0.27
347,4,2025-03-12,3020,2270,0.79
348,4,2025-11-02,8076,2443,0.23
349,3,2025-02-08,3847,506,0.22
350,3,2025-06-17,9031,2419,0.27
351,4,2025-10-12,8517,1922,0.36
352,4,2025-03-16,8534,2901,0.36
353,2,2025-09-28,6789,1788,0.63
354,1,2025-01-22,2184,2820,0.76
355,2,2025-10-24,8763,1855,0.23
356,2,2025-10-17,1737,2039,0.32
357,4,2025-12-15,4645,2837,0.67
358,1,2025-09-11,8925,3555,0.78
359,4,2025-10-07,5394,1788,0.22
360,2,2025-04-17,7995,1737,0.66
361,3,2025-10-28,2764,4897,0.42
362,1,2025-02-19,7735,1395,0.52
363,3,2025-07-13,9392,3342,0.5
364,2,2025-10-30,6716,524,0.59
365,2,2025-05-02,8906,3682,0.32
366,3,2025-04-01,7727,3634,0.67
367,3,2025-06-13,2066,1291,0.52
368,1,2025-06-04,6211,2804,0.67
369,2,2025-10-28,2227,491,0.62
370,3,2025-09-13,1795,3458,0.71
371,3,2025-06-18,6900,4066,0.63
372,3,2025-02-19,7768,1056,0.33
373,1,2025-11-02,2636,1407,0.58
374,1,2025-12-26,4924,1580,0.71
375,3,2025-02-13,3464,2276,0.47
376,4,2025-07-20,6360,2575,0.78
377,1,2025-04-18,5800,2846,0.36
378,3,2025-02-26,8925,559,0.43
379,1,2025-07-27,4437,4947,0.67
380,4,2025-04-11,9152,4622,0.78
381,3,2025-02-15,9424,2694,0.66
382,1,2025-06-11,1135,1396,0.67
383,1,2025-03-13,6493,2718,0.23
384,2,2025-11-07,9768,4512,0.54
385,1,2025-09-26,514,4271,0.48
386,2,2025-12-04,9235,4320,0.73
387,3,2025-09-04,827,1533,0.78
388,2,2025-09-16,3823,3373,0.68
389,4,2025-05-15,1493,3031,0.28
390,4,2025-03-09,2739,3095,0.34
391,3,2025-11-09,2862,3877,0.55
392,1,2025-09-07,2850,3261,0.33
393,2,2025-10-20,6357,4460,0.65
394,3,2025-02-03,784,2688,0.65
395,4,2025-10-03,8466,2454,0.31
396,1,2025-10-26,2336,923,0.65
397,3,2025-07-29,4949,2739,0.59
398,3,2025-12-23,2887,2646,0.65
399,1,2025-12-21,1655,3385,0.7
400,1,2025-12-29,8606,1037,0.35
401,4,2025-04-26,8523,2096,0.21
402,3,2025-11-12,5473,3425,0.21
403,2,2025-04-22,3317,667,0.38
404,2,2025-02-08,3416,2644,0.21
405,3,2025-12-20,2180,1496,0.25
406,3,2025-05-27,3862,2742,0.32
407,1,2025-08-12,6023,3187,0.69
408,1,2025-10-11,759,2258,0.34
409,2,2025-04-04,7623,4592,0.72
410,4,2025-05-10,7686,3028,0.43
411,4,2025-02-21,8718,1848,0.43
412,2,2025-10-14,1069,4858,0.37
413,1,2025-06-05,8813,3105,0.31
414,1,2025-01-12,9103,4067,0.77
415,1,2025-11-26,5485,3316,0.27
416,4,2025-12-01,3180,4102,0.62
417,2,2025-02-15,2620,2383,0.68
418,4,2025-03-30,4288,930,0.38
419,4,2025-08-09,3083,2934,0.66
420,2,2025-08-31,2816,2369,0.58
421,4,2025-03-13,7575,2699,0.78
422,4,2025-01-17,8538,1944,0.77
423,2,2025-04-23,3071,2294,0.72
424,2,2025-02-24,3214,910,0.35
425,2,2025-07-27,587,3422,0.24
426,4,2025-01-14,5228,3511,0.21
427,4,2025-03-04,2949,3868,0.35
428,3,2025-12-17,6503,3531,0.57
429,2,2025-06-18,1867,3718,0.64
430,1,2025-09-19,5030,2022,0.58
431,1,2025-10-12,6053,4790,0.76
432,2,2025-07-20,6921,1586,0.25
433,4,2025-08-14,8287,3770,0.23
434,3,2025-12-01,5371,1405,0.36
435,3,2025-10-17,7323,2781,0.43
436,4,2025-11-24,6973,648,0.35
437,3,2025-08-26,936,421,0.46
438,3,2025-05-07,6945,3370,0.78
439,1,2025-07-01,4070,787,0.7
440,4,2025-04-04,3936,3986,0.37
441,4,2025-06-19,4174,4238,0.48
442,4,2025-09-27,5499,1643,0.74
443,2,2025-04-27,8855,2755,0.67
444,1,2025-10-01,9327,4226,0.58
445,1,2025-10-23,8768,1384,0.46
446,1,2025-10-10,5080,4977,0.57
447,4,2025-05-15,9793,2547,0.6
448,1,2025-03-07,5605,504,0.44
449,1,2025-10-01,8005,3042,0.44
450,1,2025-12-25,5321,501,0.54
451,4,2025-09-25,2846,2851,0.67
452,4,2025-04-17,4860,4465,0.24
453,4,2025-10-10,5020,3969,0.24
454,4,2025-07-06,6916,1791,0.58
455,4,2025-07-21,1639,1693,0.22
456,3,2025-11-04,6313,1254,0.5
457,4,2025-04-18,7399,2652,0.48
458,4,2025-12-27,2360,3643,0.77
459,4,2025-10-21,770,1436,0.6
460,2,2025-06-19,2556,4227,0.8
461,4,2025-06-23,4499,4785,0.24
462,4,2025-03-29,5923,3371,0.61
463,2,2025-07-16,5327,2050,0.42
464,1,2025-10-08,813,2751,0.42
465,4,2025-09-09,9532,3100,0.7
466,3,2025-10-21,5253,593,0.4
467,1,2025-12-01,5047,2788,0.67
468,1,2025-06-09,6746,3537,0.21
469,1,2025-03-09,5672,4859,0.29
470,3,2025-09-13,9989,4327,0.25
471,2,2025-10-08,3043,3269,0.7
472,1,2025-10-05,2314,1079,0.45
473,4,2025-06-07,1209,1516,0.69
474,2,2025-04-06,2035,2307,0.57
475,4,2025-07-04,7618,974,0.7
476,4,2025-03-23,2308,3196,0.79
477,2,2025-06-17,1920,764,0.39
478,2,2025-09-08,6690,3383,0.66
479,3,2025-08-07,3723,2516,0.48
480,3,2025-09-04,1359,2106,0.38
481,2,2025-05-24,8129,4683,0.65
482,3,2025-07-09,6983,3757,0.64
483,1,2025-11-05,5891,3068,0.44
484,1,2025-06-04,554,3336,0.38
485,1,2025-06-24,7688,4389,0.5
486,4,2025-05-31,949,823,0.48
487,2,2025-01-18,6740,985,0.72
488,3,2025-02-12,8218,2063,0.21
489,3,2025-03-28,966,1424,0.47
490,4,2024-12-31,2692,4265,0.32
491,1,2025-03-05,7501,4989,0.38
492,3,2025-10-13,2231,4092,0.38
493,3,2025-01-30,6915,2774,0.53
494,3,2025-09-21,9560,3671,0.54
495,3,2025-09-06,9633,384,0.6
496,3,2025-11-06,5475,3262,0.48
497,3,2025-07-06,7946,1813,0.53
498,1,2025-07-08,7449,3902,0.55
499,4,2025-02-04,2646,4536,0.25
500,4,2025-11-18,3581,374,0.28
501,2,2025-10-09,8381,3498,0.33
502,1,2025-06-12,5154,4290,0.32
503,4,2025-06-12,9075,3999,0.61
504,4,2025-06-26,7193,2620,0.79
505,4,2025-11-05,9236,856,0.6
506,4,2025-07-01,4218,2380,0.22
507,4,2025-11-05,9908,3814,0.66
508,3,2025-11-02,1926,4176,0.39
509,2,2025-08-08,5076,678,0.45
510,2,2025-10-31,1070,1029,0.73
511,2,2025-05-23,7304,3638,0.75
512,2,2025-05-12,8762,2157,0.33
513,2,2025-06-19,3907,4231,0.32
514,4,2025-04-10,3356,2695,0.32
515,1,2025-10-27,1256,566,0.46
516,4,2025-10-11,7415,3957,0.27
517,3,2025-05-28,1913,2671,0.63
518,4,2025-12-23,1694,1491,0.57
519,2,2025-01-19,4686,3122,0.38
520,4,2025-08-11,6834,423,0.49
521,1,2025-07-04,1190,209,0.46
522,4,2025-07-06,3217,4694,0.4
523,2,2025-12-05,1017,2332,0.4
524,4,2025-01-09,8842,3477,0.52
525,3,2025-02-17,3487,1429,0.29
526,2,2025-12-04,802,3352,0.76
527,3,2025-01-17,8336,3900,0.38
528,1,2025-07-31,4958,1310,0.58
529,1,2025-04-15,541,1927,0.75
530,2,2025-12-30,6702,4701,0.48
531,2,2025-11-26,8685,424,0.37
532,4,2025-05-31,9100,4071,0.59
533,1,2025-01-26,9642,1190,0.68
534,4,2025-10-19,2537,860,0.77
535,4,2025-11-05,2905,2126,0.22
536,4,2025-01-08,6119,4356,0.34
537,4,2025-06-27,9337,218,0.65
538,1,2025-06-05,7301,3132,0.53
539,1,2025-09-06,7412,3539,0.62
540,2,2025-10-13,1131,4649,0.43
541,1,2025-01-14,951,1341,0.26
542,1,2025-01-01,6455,400,0.72
543,4,2025-09-01,9898,2331,0.49
544,2,2025-08-02,9178,4681,0.24
545,3,2025-06-10,603,4775,0.29
546,4,2025-07-29,753,4037,0.54
547,3,2025-09-15,5591,2753,0.37
548,1,2025-01-21,8152,3222,0.43
549,4,2025-11-15,7027,1722,0.25
550,2,2025-09-01,3458,3259,0.21
551,4,2025-06-17,1845,526,0.66
552,2,2025-11-08,6923,2982,0.71
553,1,2025-03-21,8029,1429,0.43
554,4,2025-01-17,1055,2919,0.6
555,1,2025-02-16,4176,4493,0.52
556,1,2025-02-25,803,2416,0.4
557,1,2025-06-11,8202,1728,0.56
558,1,2025-02-26,4482,280,0.36
559,1,2025-11-16,9697,3195,0.55
560,3,2025-10-10,8333,2061,0.27
561,4,2025-06-12,6252,3567,0.49
562,2,2025-09-26,4999,1080,0.29
563,4,2025-07-12,887,2234,0.78
564,3,2025-10-28,1394,985,0.76
565,3,2025-03-08,3559,1507,0.31
566,2,2025-01-11,4945,2287,0.67
567,3,2025-12-16,7053,3739,0.76
568,1,2025-07-07,9898,1648,0.62
569,2,2025-12-04,8539,3353,0.62
570,3,2025-03-29,6834,739,0.53
571,2,2025-07-05,6028,1173,0.38
572,2,2025-11-22,2373,4153,0.3
573,3,2025-06-20,1493,3018,0.25
574,2,2025-12-02,9137,513,0.53
575,1,2025-05-13,8910,217,0.52
576,1,2025-09-19,6072,2034,0.78
577,3,2025-05-18,3715,1425,0.79
578,2,2025-11-30,6365,4003,0.24
579,2,2025-05-24,6460,4858,0.66
580,2,2025-07-22,8334,410,0.5
581,2,2025-04-29,9925,1487,0.56
582,3,2025-01-02,7552,4919,0.77
583,1,2025-11-25,7668,1374,0.75
584,2,2025-04-29,1338,1683,0.62
585,1,2025-06-17,8514,956,0.43
586,4,2025-09-29,8651,638,0.29
587,3,2025-11-20,1120,1556,0.45
588,1,2025-12-22,9257,1891,0.21
589,2,2025-09-26,806,4940,0.25
590,2,2025-02-07,2500,4928,0.34
591,3,2025-11-26,5898,2230,0.79
592,1,2025-01-03,8956,1572,0.34
593,4,2025-09-03,1805,2087,0.55
594,2,2025-03-15,9363,4455,0.48
595,2,2025-04-04,7879,3979,0.24
596,1,2025-07-29,2805,2103,0.5
597,4,2025-04-16,868,256,0.21
598,4,2025-01-19,8018,3697,0.37
599,4,2025-05-11,1064,3988,0.52
600,3,2025-10-15,6612,2214,0.71
601,1,2025-09-25,9076,2843,0.71
602,1,2025-09-06,2507,3972,0.58
603,3,2025-08-24,9300,2945,0.69
604,1,2025-03-07,6375,2270,0.37
605,2,2025-01-21,4152,1880,0.36
606,1,2025-10-02,6611,4758,0.59
607,3,2025-07-14,1541,276,0.52
608,2,2025-02-09,2194,3834,0.26
609,1,2025-04-07,7923,2440,0.52
610,2,2025-11-19,6063,3750,0.37
611,4,2025-01-07,682,4780,0.65
612,2,2025-07-10,4610,4291,0.72
613,4,2025-07-14,4369,4389,0.66
614,1,2025-05-14,7624,4598,0.33
615,2,2025-10-25,5011,4063,0.51
616,1,2025-12-25,2439,3698,0.29
617,4,2025-08-22,5168,3652,0.55
618,2,2025-11-14,7365,4785,0.62
619,3,2025-01-17,1700,3381,0.37
620,1,2025-02-19,809,4242,0.23
621,3,2025-08-10,6090,1150,0.56
622,4,2025-08-05,9935,1681,0.34
623,1,2025-06-19,7475,734,0.71
624,1,2025-11-02,8344,2425,0.67
625,3,2025-10-08,5744,1522,0.36
626,4,2025-05-07,2455,1985,0.24
627,3,2025-04-25,3756,4951,0.21
628,4,2025-07-03,3655,2986,0.52
629,2,2025-10-09,4976,1907,0.4
630,3,2025-11-02,4362,1762,0.34
631,4,2025-02-28,6606,2398,0.32
632,2,2025-09-28,5019,3602,0.54
633,3,2025-07-01,2520,3627,0.57
634,2,2025-01-28,8639,4079,0.49
635,2,2025-12-03,5546,2084,0.75
636,4,2025-10-30,8725,4400,0.53
637,3,2025-10-19,8124,1110,0.64
638,4,2025-07-22,7319,2508,0.76
639,3,2025-09-10,3159,4467,0.36
640,2,2025-08-16,8478,3743,0.76
641,4,2025-07-30,6577,2382,0.76
642,3,2025-12-30,7345,3419,0.51
643,3,2025-10-15,6071,1975,0.3
644,2,2025-06-10,4304,244,0.72
645,1,2025-11-23,2106,4631,0.49
646,1,2025-01-31,3609,4850,0.53
647,2,2025-12-22,3193,493,0.62
648,3,2025-05-25,6094,3865,0.73
649,2,2025-01-24,3825,4598,0.46
650,1,2025-06-05,1281,824,0.53
651,4,2025-11-25,2270,2198,0.77
652,4,2025-01-18,4935,685,0.61
653,3,2025-03-29,1025,3159,0.65
654,1,2025-04-12,5585,580,0.38
655,4,2025-04-25,4453,3101,0.22
656,1,2025-04-12,9165,2673,0.55
657,3,2025-11-28,6854,2032,0.31
658,3,2025-07-02,7158,2031,0.69
659,2,2025-05-28,7178,240,0.77
660,2,2025-09-07,5998,1402,0.72
661,1,2025-04-20,9900,1296,0.8
662,1,2025-10-31,9644,1628,0.77
663,1,2025-08-26,948,2842,0.24
664,2,2025-05-12,1907,344,0.41
665,1,2025-08-17,8032,4909,0.45
666,1,2025-01-02,5953,3288,0.28
667,2,2025-12-12,4687,3957,0.55
668,4,2025-06-07,8941,4514,0.4
669,3,2025-09-20,4777,3357,0.68
